c,comuna,nombre
1,Alhue,tenencia de carabineros
2,Buin,tenencia de carabineros
3,Buin,tenencia de carabineros
4,Buin,tenencia de carabineros
5,Buin,subcomisaria
6,Buin,comisaria
7,Calera de tango,subcomisaria
8,Cerrillos,comisaria
9,Cerrillos,subcomisaria
10,Cerro Navia,comisaria
11,Colina,subcomisaria
12,Colina,tenencia de carabineros
13,Colina,comisaria
14,Conchali,subcomisaria
15,Conchali,Retén
16,Conchali,comisaria
17,Curacavi,tenencia de carabineros
18,Curacavi,comisaria
19,El bosque,tenencia de carabineros
20,El bosque,comisaria
21,El Monte,Retén
22,El Monte,tenencia de carabineros
23,El Monte,subcomisaria
24,Estación central,comisaria
25,Estación central,comisaria
26,Huechuraba,comisaria
27,Independencia,comisaria
28,Independencia,comisaria
29,Independencia,subcomisaria
30,Independencia,tenencia de carabineros
31,Isla de Maipo,Retén
32,Isla de Maipo,tenencia de carabineros
33,La Cisterna,tenencia de carabineros
34,La Cisterna,comisaria
35,La Florida,subcomisaria
36,La Florida,subcomisaria
37,La Florida,comisaria
38,La Florida,comisaria
39,La Granja,subcomisaria
40,La Granja,tenencia de carabineros
41,La Granja,comisaria
42,La Pintana,comisaria
43,La Pintana,tenencia de carabineros
44,La Reina,comisaria
45,Lampa,tenencia de carabineros
46,Lampa,tenencia de carabineros
47,Lampa,comisaria
48,Las Condes,comisaria
49,Las Condes,comisaria
50,Las Condes,subcomisaria
51,Lo Barnechea,Retén
52,Lo Barnechea,comisaria
53,Lo Barnechea,subcomisaria
54,Lo Espejo,comisaria
55,Lo Espejo,comisaria
56,Lo Espejo,comisaria
57,Lo Espejo,tenencia de carabineros
58,Lo Espejo,tenencia de carabineros
59,Lo Prado,comisaria
60,Macul,comisaria
61,Maipu,subcomisaria
62,Maipu,comisaria
63,Maipu,comisaria
64,Maria Pinto,tenencia de carabineros
65,Melipilla,tenencia de carabineros
66,Melipilla,comisaria
67,Melipilla,Retén
68,Melipilla,Retén
69,Melipilla,Retén
70,Ñuñoa,comisaria
71,Padre Hurtado,tenencia de carabineros
72,Padre Hurtado,subcomisaria
73,Paine,Retén
74,Paine,comisaria
75,Paine,tenencia de carabineros
76,Paine,tenencia de carabineros
77,Paine,Retén
78,Pedro Aguirre Cerda,tenencia de carabineros
79,Pedro Aguirre Cerda,tenencia de carabineros
80,Pedro Aguirre Cerda,tenencia de carabineros
81,Pedro Aguirre Cerda,comisaria
82,Peñaflor,tenencia de carabineros
83,Peñaflor,comisaria
84,Peñalolen,comisaria
85,Peñalolen,subcomisaria
86,Peñalolen,tenencia de carabineros
87,Pirque,comisaria
88,Providencia,comisaria
89,Providencia,subcomisaria
90,Pudahuel,comisaria
91,Pudahuel,comisaria
92,Pudahuel,comisaria
93,Pudahuel,subcomisaria
94,Puente Alto,Retén
95,Puente Alto,subcomisaria
96,Puente Alto,comisaria
97,Puente Alto,comisaria
98,Puente Alto,comisaria
99,Puente Alto,comisaria
100,Quilicura,comisaria
101,Quinta Normal,subcomisaria
102,Quinta Normal,subcomisaria
103,Quinta Normal,comisaria
104,Recoleta,tenencia de carabineros
105,Recoleta,tenencia de carabineros
106,Recoleta,comisaria
107,Renca,comisaria
108,Renca,subcomisaria
109,San Bernardo,comisaria
110,San Bernardo,comisaria
111,San Joaquin,comisaria
112,San Jose de Maipo,subcomisaria
113,San Jose de Maipo,tenencia de carabineros
114,San Miguel,comisaria
115,San Pedro,Retén
116,San Pedro,tenencia de carabineros
117,San Ramon,comisaria
118,Santiago,comisaria
119,Santiago,comisaria
120,Santiago,comisaria
121,Santiago,comisaria
122,Santiago,comisaria
123,Santiago,comisaria
124,Santiago,comisaria
125,Santiago,comisaria
126,Santiago,comisaria
127,Santiago,Retén
128,Santiago,tenencia de carabineros
129,Talagante,comisaria
130,Til Til,tenencia de carabineros
131,Til Til,Retén
132,Til Til,Retén
133,Til Til,Retén
134,Vitacura,comisaria